#snr  sigma
      8.21171      3.50547
      7.69619      5.31541
      12.0275      2.81041
      4.18034      5.98601
      39.9653      2.25230
      6.85644      8.63530
      10.2014      3.12346
      53.1833      2.20629
      12.0656      2.91224
      9.69815      2.73266
      70.0043      2.20524
      4.84630      5.87239
      36.9982      2.25349
      5.76943      3.44979
      23.4793      2.41947
      4.71860      5.20117
      117.543      2.20139
      5.39419      3.59866
      149.726      2.22522
      4.35858      5.99179
      10.3121      2.89605
      10.8606      2.76848
      12.2436      3.06454
      11.0227      3.83249
      5.43449      12.9152
      17.7366      4.72196
      8.96288      3.45251
      9.52128      5.79927
      8.57754      3.53173
      4.72886      5.10650
      3.75825      9.23864
      37.2640      2.22228
      3.41364      14.7471
      3.96221      16.9077
      5.29244      5.73452
      5.74335      5.39162
      38.8732      2.22805
      8.96864      4.40199
      5.74264      3.53854
      15.8122      2.50884
      18.8104      2.32902
      24.9853      2.30481
      6.33259      4.18993
      24.5516      2.58570
      18.2905      2.24178
      10.1685      5.27368
      24.0381      127.182
      12.4181      3.88566
      23.2878      2.31778
      5.42686      6.51604
      48.0113      2.23561
      4.48420      15.7679
      27.0389      2.29398
      3.97275      5.03998
      69.1849      2.20630
      8.59661      17.5040
      27.9184      2.29284
      7.31240      3.66473
      22.8888      2.42739
      40.0403      2.78473
      20.0384      2.39406
      8.56903      3.70242
      7.09953      3.75959
      7.91798      3.11316
      7.28492      4.41589
      13.2959      2.62085
      35.7754      3.78287
      5.20678      3.96742
      78.0786      2.20774
      8.54029      3.62689
      6.23113      3.92958
      52.3938      2.21705
      6.11476      4.82250
      6.27010      4.92764
      7.64117      17.0473
      10.2682      3.18201
      14.1123      2.54939
      4.34125      5.73339
      10.1533      2.60225
      190.098      2.20170
      13.4010      2.59376
      10.0370      4.05541
      18.0716      2.39412
      9.15303      5.46384
      13.5164      2.65140
      4.83240      4.15639
      7.80656      3.41836
      16.7481      2.58333
      37.8276      2.27200
      2.60135      7.53755
      29.1407      8.85991
      85.2032      6.56678
      25.7084      2.26522
      21.5008      2.42259
      4.95169      3.86879
      11.5506      2.98431
      3.68803      4.29296
      23.8033      2.29957
      25.4822      2.22214
      20.5318      2.43699
      12.0921      3.66494
      5.35717      8.09674
      10.0261      3.34029
      35.9616      2.29285
      49.1510      2.23945
      13.0581      2.65753
      12.7237      3.28908
      3.56198      5.09642
      35.5923      2.22931
      17.8258      2.56609
      4.52530      4.95187
      17.9005      2.44070
      14.8210      23.6786
      5.16953      5.37599
      13.8363      2.87957
      32.2316      2.26813
      3.96339      14.7385
      7.19177      6.59814
      11.8770      3.78164
      18.0117      2.33473
      15.7203      30.3562
      38.5191      2.31388
      17.7958      2.46826
      26.8225      2.27412
      31.8459      2.31513
      91.7340      2.20873
      11.7689      2.84493
      6.83822      3.64149
      22.7511      2.52404
      101.594      2.26328
      12.3230      3.32607
      10.3772      3.46526
      3.12516      6.32471
      49.7609      2.26201
      5.17465      13.7933
      7.47234      5.16582
      11.9887      3.34857
      54.7997      2.23571
      15.4187      2.94049
      11.2767      3.61118
      5.13968      5.88659
      6.86739      7.02682
      2.74434      6.90985
      144.836      2.20284
      4.58516      11.4072
      6.72965      4.59586
      4.99791      6.40830
      24.2758      2.98708
      47.2735      2.21596
      3.27611      19.8475
      11.7711      3.61468
      9.38243      2.95610
      7.20306      8.95894
      15.6471      3.93021
      9.90432      4.38838
      7.20126      7.84812
      8.44103      6.58064
      3.23392      10.3936
      7.04674      5.93312
      7.72075      10.8065
      10.7161      2.63792
      7.65659      4.72447
      19.7052      2.86681
      10.7484      3.20367
      14.7228      2.77823
      5.37142      6.75834
      33.6201      5.29186
      35.7106      2.31056
      6.51232      18.5392
      6.59269      4.08532
      6.46678      4.30952
      7.60412      4.39115
      3.08606      9.69877
      6.01320      3.51468
      6.63237      27.6952
      6.19061      4.20152
      29.1187      2.27962
      20.3622      2.33573
      5.32292      6.38119
      6.81798      7.47099
      8.09972      3.67170
      53.3210      2.56657
      68.1852      2.25808
      105.281      2.20416
      27.2126      2.34234
      23.0362      2.83385
      159.369      2.20443
      4.14610      4.48448
      2.97537      17.9592
      7.47266      4.10234
      3.13705      15.7392
      3.72036      7.05076
      5.93501      4.44128
      55.3917      2.34605
      65.5293      2.21804
      3.05347      6.46651
      3.75449      7.34637
      14.8160      2.61657
      103.740      2.20786
      291.305      2.20039
      10.3761      4.43451
      49.6288      2.26860
      16.9182      3.04931
      109.728      2.20534
      9.72789      5.55411
      6.78143      4.40814
      4.15045      3.42927
      4.06515      4.65989
      224.505      2.20063
      10.7063      3.49957
      27.2464      2.42831
      16.7842      2.43405
      6.20653      10.7386
      7.68998      2.33309
      3.68076      6.82949
      5.64799      5.00370
      4.43466      6.52437
      14.4688      2.82345
      18.4297      2.47810
      10.0866      3.58471
      14.0931      2.64846
      6.97728      5.13550
      4.78453      8.92622
      3.52420      5.05321
      38.2323      2.29106
      32.3183      2.47666
      112.996      2.20394
      99.8613      2.20623
      4.61297      11.3246
      22.1126      2.30919
      23.3131      3.19898
      15.0346      2.58177
      3.70959      10.3403
      7.03159      8.77991
      8.82466      4.83008
      7.02995      10.0113
      6.24285      15.8719
      19.0937      2.49361
      5.66293      8.45644
      6.62812      9.27182
      2.73066      6.11698
      3.02813      17.9834
      3.22131      30.2398
      4.50142      15.1801
      107.853      2.20668
      10.8651      5.48031
      7.10671      9.79243
      5.94125      5.82857
      22.3763      2.48640
      34.3779      2.34022
      9.04180      8.39556
      32.5195      612.789
      13.7625      2.57390
      23.3322      2.36167
      18.5471      2.61954
      7.16858      23.4329
      7.03101      4.50483
      5.79109      16.8718
      6.09886      11.0856
      13.4565      2.86522
      2.66725      46.8146
      10.8678      2.77370
      10.9620      3.51868
      19.4390      2.47381
      24.2502      2.65744
      60.9372      2.24688
      31.2974      2.45493
      30.7770      2.36385
      20.3502      2.82333
      5.59323      6.67747
      36.1739      2.33431
      16.8470      3.36483
      32.5347      2.28286
      12.4729      3.10790
      27.9100      2.43031
      4.61147      28.4041
      19.5215      2.89866
      10.7741      13.5824
      10.8488      4.02115
      5.60848      12.1683
      2.53696      24.5911
      19.7743      2.70191
      186.766      2.20130
      22.2310      2.31082
      26.8479      2.42933
      13.3041      3.14616
      81.2436      10.0361
      23.1431      2.32996
      12.1611      2.81519
      7.03304      2.76102
      16.8280      2.42170
      20.3047      2.80127
      71.3755      2.23202
      6.40456      4.58319
      14.2460      2.36534
      49.1114      2.24294
      122.585      2.20374
      21.6577      2.35909
      79.2924      2.20512
      10.4737      2.52228
      6.83997      18.5975
      13.9088      2.42886
      34.7868      2.22625
      17.2354      2.55606
      0.00000      10.0360
      7.10737      5.36313
      19.9475      2.30306
      8.73828      2.78870
      5.59026      4.05354
      3.94170      6.52697
      6.60841      4.25269
      12.1718      2.73273
      26.1161      2.26460
      7.51439      3.48467
      7.98717      3.31755
      10.8196      2.56533
      4.86820      6.67020
      17.4715      2.39611
      4.17221      7.63924
      4.18891      4.77266
      39.0930      2.22617
      7.00387      3.22580
      12.3468      2.77884
      3.53593      8.33655
      7.45751      3.66377
      6.02766      4.28010
      40.2989      2.23573
      34.0321      2.25122
      47.7459      2.21820
      11.5037      2.69267
      41.7645      2.23340
      39.8552      2.27305
      5.48798      3.72714
      6.31247      8.24868
      13.7765      2.74564
      8.44695      10.8148
      14.6594      2.43618
      11.8470      2.58098
      7.26774      3.02458
      23.5668      2.26481
      4.07554      9.16813
      25.4502      2.29313
      55.4108      2.21417
      4.97459      4.08758
      4.86192      5.50171
      5.26351      6.54054
      27.3492      2.24582
      8.30914      3.16767
      5.28339      4.61922
      6.81074      3.07367
      14.0165      2.55693
      8.99554      3.95461
      13.7101      2.37381
      28.8580      2.26597
      5.98462      4.39737
      17.0503      2.37355
      5.62516      3.71822
      5.43717      4.14389
      6.12276      3.45717
      27.1563      2.28510
      6.75176      3.13767
      4.50692      10.2338
      5.41904      3.60929
      31.7211      2.24300
      19.1765      2.34587
      4.84152      4.44534
      6.17453      4.35394
      8.58578      3.32433
      19.2162      2.38368
      7.86910      3.64701
      8.45804      3.83827
      4.61390      4.17237
      4.78001      4.58162
      4.71775      3.94747
      11.4759      2.94787
      18.3385      2.35349
      4.51521      16.2377
      39.6017      2.24989
      19.8234      2.38628
      7.56877      3.79704
      5.71440      3.67405
      20.1953      2.34863
      9.96652      3.06356
      4.53066      6.78156
      7.15804      4.26081
      8.02052      6.57455
      38.8136      2.24578
      8.30227      3.65369
      12.2062      2.62390
      12.2100      2.46631
      3.72229      6.13738
      35.4319      2.24192
      4.69177      4.98288
      6.09345      3.52887
      10.0652      2.83490
      44.8986      2.21718
      5.39060      4.72654
      16.8493      2.38031
      28.7088      2.27265
      9.20513      3.02870
      9.42232      3.19440
      21.4754      2.29840
      6.40514      4.57586
      34.5861      2.23600
      6.38297      4.10291
      9.44162      4.57128
      6.71431      3.81172
      8.70229      3.82907
      11.8368      3.04421
      8.16915      3.96634
      12.6622      2.56262
      8.69971      3.12830
      8.79308      3.52812
      7.12027      3.31049
      9.92459      2.72460
      4.73168      5.14263
      32.3708      2.25143
      6.14006      3.96323
      3.96696      6.66132
      13.6424      2.64835
      7.78485      4.95632
      14.5640      2.99609
      21.1585      2.48207
      50.7445      2.26928
      18.5809      2.74031
      16.2688      2.25532
      5.61606      3.51077
      5.01662      4.21714
      8.36898      3.22719
      5.16857      5.25244
      15.9888      2.40492
      28.0790      2.25890
      20.2901      2.33694
      15.8609      2.44087
      4.74087      3.69611
      113.688      2.20254
      3.95477      5.64679
